Manuscript_id,Icode_icodeID,Manuscript_title,Manuscript_DateReceiced,Journal_JournalEdition,Manuscript_DateOfAcceptance,Manuscript_JournalBeiginingPageNumber,Manuscript_Order_in_Journal,Manuscript_status_idmanuscript_status
1,1,Disease recoginition using mobile sensor,2020-01-23 1:22:24,NULL,2020-01-22 2:22:22,NULL,NULL,7
2,1,Predict Everyday path Using GPS,2019-01-01 2:22:24,NULL,NULL,NULL,NULL,2
3,5,Mobile Sensing ,2021-08-04 4:21:21,NULL,2021-08-28 5:21:21,NULL,NULL,7
4,9,Automatic recognition of Best Route,2021-06-03 10:11:11,NULL,NULL,NULL,NULL,2
5,25,Human computer Interaction,2020-09-12 3:45:02,2021-3,2020-12-12 3:56:22,45,8,9
6,72,Neural network to determine Spanish words,2021-03-03 7:34:21,2021-3,2021-04-23 6:23:22,23,4,9
7,21,Efficiency of 5G Wireless System,2020-12-29 5:32:54,2021-1,2021-02-02 7:00:01,16,3,8
8,12,Robotics in Oil Extraction,2021-01-01 1:12:12,2021-1,2021-03-21 4:00:00,24,6,8
9,45,Research on High Performance Computing,2021-04-21 9:00:00,NULL,2021-05-06 2:00:00,NULL,NULL,5
10,7,Embedded and Real time systems,2021-06-02 12:00:01,NULL,NULL,NULL,NULL,3
11,1,Web and Information Retrieval,2021-03-12 11:00:00,NULL,NULL,NULL,NULL,3
12,72,Reserch on Embedded and Real time systems,2021-04-01 8:00:01,NULL,NULL,NULL,NULL,3
13,32,Large Scale Networks Perforamnce gain Using Algorithm1,2020-12-12 4:03:02,NULL,NULL,NULL,NULL,4
14,21,Parallel Computing Performance Enhancmment,2021-11-10 8:02:02,NULL,2021-02-02 5:00:00,NULL,NULL,5
15,17,Digital Image Processing using new algorithm,2021-05-06 7:00:00,NULL,NULL,NULL,NULL,4
16,18,Big Data Analytics for Online Shopping,2021-05-22 6:00:00,NULL,2021-06-29 3:00:21,NULL,NULL,5
17,19,Natural Language Processing for Nepali Language,2021-07-23 9:00:00,NULL,NULL,NULL,NULL,1
18,20,Computer Vision to enhance the performance,2021-07-27 11:09:00,NULL,NULL,NULL,NULL,1
19,32,Digital Image Processing to enhance satellite images,2020-10-10 10:10:25,NULL,NULL,NULL,NULL,2
20,40,Depp learning to train robots to cross the roads,2021-03-03 1:01:01,NULL,NULL,NULL,NULL,4
21,41,Quantum System using new algorithm,2021-02-21 2:22:22,NULL,NULL,NULL,NULL,4
22,76,Distributed Computing ,2021-01-01 7:02:45,NULL,2021-01-29 7:02:42,NULL,NULL,6
23,19,Algorithm enhanced the performance of Semantic web,2021-02-07 8:09:23,NULL,2021-05-07 11:00:00,NULL,NULL,6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
